Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Fiscal Year","ALL"

Table
,,,"<Fiscal Year>","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997",
,,,"<measures>"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred"," Awards/Degrees Conferred",
"[Science and Engineering; and Non-Science and Engineering (Alternate Classification)]","[Broad Fields (Alternate Classification)]","[Detailed Fields (Alternate Classification)]","[CIP Code and Description (6 digit)]",
"Total (a)","Total for selected values","Total for selected values","Total for selected values","5,310,086","5,315,767","5,203,844","5,213,034","5,123,430","5,036,441","4,981,531","4,952,090","4,916,172","4,876,126","4,863,553","4,733,119","4,428,704","4,149,817","3,969,727","3,862,080","3,769,968","3,681,597","3,548,704","3,383,179","3,186,411","3,073,225","3,059,682","2,965,752","3,058,444","2,942,663",
"Science and engineering","Total for selected values","Total for selected values","Total for selected values","1,218,533","1,223,008","1,186,557","1,153,933","1,125,668","1,087,352","1,051,591","1,016,881","989,335","953,168","915,554","859,750","799,547","762,529","737,673","716,637","713,675","711,458","708,046","693,113","644,139","618,642","613,574","589,006","582,192","572,369",
"Science and engineering","Life Sciences","Total for selected values","Total for selected values","229,383","226,702","218,253","211,098","204,904","198,073","192,516","185,622","178,367","171,275","162,462","150,916","142,220","135,772","131,091","125,615","117,799","111,715","105,985","104,333","101,623","101,683","105,704","106,774","109,241","105,140",
"Science and engineering","Life Sciences","Agricultural Sciences","Total for selected values","48,575","48,170","47,657","47,219","45,643","43,563","42,436","41,027","39,814","38,523","36,046","32,453","28,969","27,549","26,764","26,080","25,506","25,452","25,310","25,922","26,734","26,234","27,627","26,503","27,873","25,390",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0308 - Agroecology and Sustainable Agriculture.","591","545","564","504","495","437","412","352","274","101","72","56","44","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0508 - Taxidermy/Taxidermist.","1","2","1","8","2","17","9","31","34","42","43","48","52","32","26","26","18","36","27","-","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0801 - Agricultural and Extension Education Services.","317","320","290","218","204","168","168","154","149","121","113","86","70","48","43","62","61","118","107","92","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0802 - Agricultural Communication/Journalism.","471","439","435","458","455","469","411","414","359","351","383","284","251","205","203","200","219","217","196","130","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0899 - Agricultural Public Services, Other.","54","60","83","84","58","66","84","82","94","97","88","99","67","52","65","61","49","34","31","-","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0901 - Animal Sciences, General.","7,466","7,592","7,303","7,037","6,816","6,470","6,363","6,237","5,880","5,629","5,392","5,326","4,936","4,920","4,716","4,678","4,228","4,198","4,055","3,964","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0902 - Agricultural Animal Breeding.","7","10","20","10","5","7","12","14","11","5","18","14","43","31","35","35","40","65","39","71","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0903 - Animal Health.","21","20","44","29","38","40","37","31","38","43","38","29","34","28","29","46","64","53","53","39","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0904 - Animal Nutrition.","5","3","4","5","3","2","3","4","2","3","3","3","3","1","4","3","11","8","8","13","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0905 - Dairy Science.","181","202","236","229","266","247","265","268","227","207","193","197","195","166","147","167","162","146","171","149","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0906 - Livestock Management.","23","29","31","19","17","18","19","24","21","27","31","22","21","17","15","6","13","8","6","4","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0907 - Poultry Science.","203","213","159","171","140","144","147","138","103","184","181","161","106","123","133","176","152","158","154","149","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.0999 - Animal Sciences, Other.","186","144","190","209","181","139","152","122","151","133","155","139","185","189","206","191","229","225","228","317","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1001 - Food Science.","1,646","1,806","1,809","1,965","2,005","2,080","2,153","2,038","2,008","1,847","1,651","1,451","1,403","1,318","1,298","1,209","1,140","992","1,007","964","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1002 - Food Technology and Processing.","97","95","87","135","112","129","100","94","52","41","52","13","19","26","29","11","80","8","9","3","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1003 - Brewing Science.","109","79","50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1005 - Zymology/Fermentation Science.","63","46","25","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1099 - Food Science and Technology, Other.","188","181","127","113","132","106","114","51","37","45","47","33","20","27","32","54","50","84","41","41","-","-","-","-","-","-",
"Science and engineering","Life Sciences","Agricultural Sciences","01.1101 - Plant Sciences, General.","671","662","698","736","680","603","605","576","604","560","421","472","418","457","442","427","471","479","435","561","-","-","-","-","-","-",
